,Predictions,Actual
0,3.0,3
1,8.0,8
2,8.0,8
3,0.0,0
4,3.0,6
5,6.0,6
6,3.0,1
7,6.0,6
8,3.0,3
9,9.0,1
10,0.0,0
11,9.0,9
12,4.0,5
13,7.0,7
14,9.0,9
15,6.0,8
16,2.0,5
17,6.0,7
18,8.0,8
19,6.0,6
20,7.0,7
21,0.0,0
22,4.0,4
23,9.0,9
24,4.0,5
25,3.0,2
26,4.0,4
27,0.0,0
28,9.0,9
29,6.0,6
30,6.0,6
31,5.0,5
32,4.0,4
33,2.0,5
34,9.0,9
35,3.0,2
36,7.0,4
37,1.0,1
38,9.0,9
39,5.0,5
40,4.0,4
41,6.0,6
42,7.0,5
43,6.0,6
44,0.0,0
45,9.0,9
46,3.0,3
47,5.0,9
48,7.0,7
49,6.0,6
50,9.0,9
51,4.0,8
52,3.0,0
53,3.0,3
54,8.0,8
55,8.0,8
56,7.0,7
57,8.0,7
58,3.0,4
59,3.0,6
60,7.0,7
61,5.0,3
62,6.0,6
63,0.0,3
64,6.0,6
65,3.0,2
66,1.0,1
67,2.0,2
68,2.0,3
69,9.0,7
70,8.0,2
71,6.0,6
72,8.0,8
73,8.0,8
74,0.0,0
75,2.0,2
76,9.0,9
77,3.0,3
78,3.0,3
79,8.0,8
80,8.0,8
81,1.0,1
82,1.0,1
83,7.0,7
84,2.0,2
85,7.0,5
86,2.0,2
87,8.0,7
88,8.0,8
89,9.0,9
90,0.0,0
91,6.0,3
92,8.0,8
93,6.0,6
94,4.0,4
95,6.0,6
96,2.0,6
97,0.0,0
98,0.0,0
99,0.0,7
100,4.0,4
101,5.0,5
102,6.0,6
103,3.0,3
104,1.0,1
105,1.0,1
106,3.0,3
107,6.0,6
108,8.0,8
109,7.0,7
110,4.0,4
111,0.0,0
112,0.0,6
113,2.0,2
114,1.0,1
115,3.0,3
116,0.0,0
117,4.0,4
118,5.0,2
119,7.0,7
120,8.0,8
121,3.0,3
122,3.0,1
123,2.0,2
124,8.0,8
125,3.0,0
126,0.0,8
127,3.0,3
128,6.0,5
129,0.0,2
130,4.0,4
131,1.0,1
132,9.0,8
133,9.0,9
134,6.0,1
135,3.0,2
136,9.0,9
137,7.0,7
138,2.0,2
139,0.0,9
140,6.0,6
141,5.0,5
142,6.0,6
143,3.0,3
144,8.0,8
145,7.0,7
146,6.0,6
147,3.0,2
148,2.0,5
149,2.0,2
150,8.0,8
151,9.0,9
152,6.0,6
153,0.0,0
154,0.0,0
155,5.0,5
156,2.0,2
157,9.0,9
158,6.0,5
159,4.0,4
160,0.0,2
161,1.0,1
162,3.0,6
163,6.0,6
164,8.0,8
165,2.0,4
166,8.0,8
167,4.0,4
168,5.0,5
169,0.0,0
170,9.0,9
171,7.0,9
172,9.0,9
173,8.0,8
174,9.0,9
175,9.0,9
176,5.0,3
177,7.0,7
178,5.0,5
179,2.0,0
180,0.0,0
181,7.0,5
182,2.0,2
183,2.0,2
184,0.0,3
185,8.0,8
186,6.0,6
187,3.0,3
188,3.0,4
189,8.0,0
190,5.0,5
191,8.0,8
192,2.0,0
193,1.0,1
194,2.0,7
195,3.0,2
196,8.0,8
197,8.0,8
198,7.0,7
199,8.0,8
200,3.0,5
201,1.0,1
202,8.0,8
203,7.0,7
204,1.0,1
205,3.0,3
206,0.0,0
207,5.0,5
208,7.0,7
209,9.0,9
210,5.0,7
211,4.0,4
212,5.0,5
213,9.0,9
214,8.0,8
215,0.0,0
216,0.0,7
217,9.0,9
218,0.0,8
219,2.0,2
220,4.0,7
221,6.0,6
222,9.0,9
223,4.0,4
224,4.0,3
225,9.0,9
226,9.0,6
227,2.0,4
228,3.0,7
229,6.0,6
230,3.0,5
231,1.0,1
232,3.0,5
233,1.0,8
234,8.0,8
235,0.0,0
236,4.0,4
237,9.0,0
238,5.0,5
239,3.0,5
240,1.0,1
241,1.0,1
242,8.0,8
243,9.0,9
244,4.0,0
245,8.0,3
246,1.0,1
247,8.0,9
248,2.0,2
249,0.0,2
250,5.0,5
251,5.0,3
252,9.0,9
253,9.0,9
254,3.0,4
255,0.0,0
256,6.0,3
257,0.0,0
258,8.0,0
259,1.0,9
260,8.0,8
261,1.0,1
262,5.0,5
263,3.0,7
264,8.0,0
265,0.0,8
266,2.0,2
267,4.0,4
268,7.0,7
269,0.0,0
270,5.0,2
271,3.0,3
272,6.0,6
273,5.0,3
274,8.0,8
275,2.0,5
276,0.0,0
277,2.0,3
278,4.0,4
279,3.0,3
280,9.0,9
281,0.0,0
282,6.0,6
283,1.0,1
284,9.0,0
285,9.0,9
286,1.0,1
287,0.0,0
288,7.0,7
289,9.0,9
290,1.0,1
291,2.0,2
292,6.0,6
293,1.0,9
294,3.0,3
295,4.0,4
296,6.0,6
297,0.0,0
298,0.0,0
299,6.0,6
300,6.0,6
301,6.0,6
302,4.0,3
303,2.0,2
304,6.0,6
305,8.0,1
306,9.0,8
307,0.0,2
308,9.0,1
309,3.0,6
310,8.0,8
311,6.0,6
312,0.0,8
313,2.0,0
314,3.0,4
315,0.0,0
316,7.0,7
317,3.0,7
318,5.0,5
319,5.0,5
320,3.0,3
321,5.0,5
322,2.0,2
323,5.0,3
324,4.0,4
325,1.0,1
326,7.0,7
327,5.0,5
328,4.0,4
329,3.0,6
330,1.0,1
331,9.0,9
332,6.0,3
333,6.0,6
334,6.0,6
335,9.0,9
336,3.0,3
337,8.0,8
338,0.0,0
339,7.0,7
340,2.0,2
341,6.0,6
342,2.0,2
343,7.0,5
344,0.0,8
345,5.0,5
346,4.0,4
347,6.0,6
348,8.0,8
349,9.0,9
350,9.0,9
351,1.0,1
352,8.0,0
353,2.0,2
354,6.0,2
355,7.0,7
356,3.0,3
357,0.0,2
358,1.0,8
359,0.0,0
360,9.0,9
361,5.0,5
362,8.0,8
363,9.0,1
364,9.0,9
365,2.0,4
366,1.0,1
367,2.0,3
368,4.0,8
369,1.0,1
370,2.0,4
371,7.0,7
372,9.0,9
373,7.0,4
374,2.0,2
375,7.0,7
376,0.0,0
377,4.0,7
378,8.0,0
379,6.0,6
380,6.0,6
381,9.0,9
382,0.0,0
383,9.0,9
384,5.0,2
385,8.0,8
386,7.0,7
387,5.0,2
388,3.0,2
389,5.0,5
390,1.0,1
391,2.0,2
392,6.0,6
393,6.0,2
394,3.0,9
395,5.0,6
396,2.0,2
397,3.0,3
398,0.0,0
399,3.0,3
400,9.0,9
401,8.0,8
402,7.0,7
403,8.0,8
404,8.0,8
405,4.0,4
406,0.0,0
407,1.0,1
408,8.0,8
409,2.0,2
410,7.0,7
411,9.0,9
412,0.0,3
413,6.0,6
414,1.0,1
415,9.0,9
416,0.0,0
417,0.0,7
418,3.0,3
419,7.0,7
420,2.0,4
421,5.0,5
422,8.0,0
423,0.0,0
424,4.0,2
425,9.0,9
426,6.0,3
427,4.0,4
428,6.0,0
429,6.0,6
430,2.0,2
431,5.0,5
432,5.0,3
433,7.0,7
434,9.0,3
435,7.0,7
436,7.0,2
437,2.0,5
438,3.0,3
439,1.0,1
440,1.0,1
441,4.0,4
442,9.0,9
443,9.0,9
444,5.0,5
445,7.0,7
446,5.0,5
447,0.0,0
448,5.0,2
449,2.0,2
450,8.0,2
451,9.0,9
452,7.0,7
453,3.0,3
454,9.0,9
455,4.0,4
456,3.0,3
457,5.0,5
458,4.0,4
459,9.0,6
460,5.0,5
461,6.0,6
462,1.0,1
463,2.0,4
464,4.0,3
465,3.0,4
466,7.0,4
467,3.0,3
468,2.0,7
469,8.0,8
470,3.0,3
471,7.0,7
472,8.0,8
473,0.0,0
474,4.0,5
475,7.0,7
476,6.0,6
477,9.0,0
478,5.0,5
479,9.0,4
480,1.0,8
481,6.0,6
482,8.0,8
483,2.0,5
484,5.0,5
485,9.0,9
486,9.0,9
487,9.0,9
488,4.0,5
489,0.0,0
490,1.0,1
491,0.0,0
492,8.0,8
493,1.0,1
494,1.0,1
495,8.0,8
496,0.0,0
497,2.0,2
498,2.0,2
499,0.0,0
500,3.0,4
501,6.0,6
502,2.0,5
503,2.0,4
504,9.0,9
505,4.0,4
506,7.0,7
507,9.0,9
508,9.0,9
509,4.0,4
510,5.0,5
511,6.0,6
512,6.0,6
513,1.0,1
514,3.0,5
515,3.0,3
516,8.0,8
517,9.0,9
518,3.0,5
519,8.0,8
520,5.0,5
521,7.0,7
522,0.0,0
523,7.0,7
524,0.0,0
525,6.0,5
526,4.0,0
527,0.0,0
528,4.0,4
529,6.0,6
530,9.0,9
531,0.0,0
532,9.0,9
533,5.0,5
534,6.0,6
535,6.0,6
536,6.0,6
537,4.0,2
538,9.0,9
539,0.0,0
540,1.0,1
541,3.0,7
542,6.0,6
543,7.0,7
544,5.0,5
545,9.0,9
546,1.0,1
547,6.0,6
548,2.0,2
549,5.0,5
550,7.0,5
551,3.0,5
552,8.0,8
553,3.0,5
554,9.0,9
555,7.0,4
556,6.0,6
557,3.0,4
558,3.0,3
559,2.0,2
560,0.0,0
561,7.0,7
562,6.0,6
563,4.0,2
564,1.0,2
565,3.0,3
566,9.0,9
567,7.0,7
568,9.0,9
569,4.0,2
570,6.0,6
571,7.0,7
572,1.0,1
573,8.0,3
574,6.0,6
575,6.0,6
576,8.0,8
577,8.0,9
578,4.0,7
579,3.0,5
580,4.0,4
581,3.0,0
582,6.0,8
583,4.0,4
584,0.0,0
585,9.0,9
586,5.0,3
587,4.0,4
588,8.0,8
589,9.0,9
590,6.0,6
591,9.0,9
592,2.0,2
593,6.0,6
594,1.0,1
595,4.0,4
596,7.0,7
597,3.0,3
598,2.0,5
599,3.0,3
600,3.0,8
601,3.0,5
602,0.0,0
603,2.0,2
604,1.0,1
605,6.0,6
606,4.0,4
607,3.0,3
608,3.0,3
609,9.0,9
610,3.0,6
611,9.0,9
612,8.0,8
613,8.0,8
614,5.0,5
615,3.0,8
616,3.0,6
617,6.0,6
618,2.0,2
619,1.0,1
620,7.0,7
621,0.0,7
622,1.0,1
623,2.0,2
624,7.0,7
625,9.0,9
626,9.0,9
627,4.0,4
628,7.0,4
629,8.0,1
630,6.0,2
631,2.0,5
632,6.0,6
633,3.0,8
634,7.0,7
635,6.0,6
636,8.0,8
637,3.0,3
638,0.0,0
639,3.0,5
640,3.0,5
641,3.0,3
642,0.0,0
643,7.0,7
644,9.0,9
645,1.0,1
646,3.0,3
647,7.0,4
648,4.0,4
649,3.0,5
650,3.0,3
651,9.0,9
652,3.0,5
653,1.0,6
654,9.0,9
655,8.0,2
656,1.0,1
657,1.0,1
658,6.0,4
659,1.0,1
660,9.0,9
661,4.0,4
662,7.0,7
663,6.0,6
664,3.0,3
665,0.0,8
666,9.0,9
667,0.0,0
668,1.0,1
669,2.0,3
670,6.0,6
671,3.0,3
672,4.0,6
673,3.0,3
674,4.0,2
675,8.0,0
676,4.0,3
677,6.0,1
678,0.0,0
679,5.0,5
680,9.0,9
681,6.0,6
682,4.0,4
683,8.0,8
684,9.0,9
685,2.0,6
686,9.0,9
687,6.0,6
688,5.0,3
689,3.0,0
690,3.0,3
691,2.0,2
692,2.0,2
693,7.0,7
694,8.0,8
695,3.0,3
696,8.0,8
697,0.0,2
698,7.0,7
699,6.0,5
700,7.0,7
701,0.0,2
702,4.0,4
703,8.0,8
704,7.0,7
705,4.0,4
706,8.0,2
707,3.0,9
708,8.0,8
709,8.0,8
710,6.0,6
711,0.0,8
712,8.0,8
713,7.0,7
714,4.0,4
